Timestamp,What is your gender?,What is your sexual orientation?,What is your relationship status?,Why are you single?,How did you meet your significant other? ,Do you agree with these statements? [Snap chat],Do you agree with these statements? [Tinder],Do you agree with these statements? [Instagram],Do you agree with these statements? [Bumble],Do you agree with these statements? [Hinge],Do you agree with these statements? [TikTok],"On dating apps, which gender do you think find it easier to match and go on dates?",Which statement best describe your dating apps usage?,Would you recommend a dating app to a friend to help them find a romantic partner? ,"In a heterosexual context, which gender should pay for the first date?",Do you enjoy the activity of swiping to find a match?,"In a heterosexual context, which gender do you think is more selective or picky when it comes to the people they swipe right on / approve off?",Which of the following body types is the most attractive to you?,How do you rate your own physical appearances & attractiveness?
10/14/2022 0:38:18,Female,Heterosexual (straight),Married,,Offline,Easy to use,,,,,Easy to use,They're equal,I’ve haven’t used them but I’ve known/heard about them,No,They should split the bill,No,They're equally picky,Mesomorph,7
10/14/2022 10:00:01,Male,Bisexual,Newly dating,,Online,"Easy to use, Use for dating","Easy to use, Use for dating","Easy to use, Spend most of my time on, Use for dating",Use for dating,Use for dating,"Easy to use, Spend most of my time on",Female,I’m an active and premium user (paid),Yes,They should split the bill,No,Women,Hour Glass,7
10/14/2022 10:08:19,Female,Heterosexual (straight),Have a boyfriend/girlfriend,,Online,,,Easy to use,Easy to use,,,Female,I’ve used them in the past but not anymore,Yes,Male,No,Women,Mesomorph,8
10/14/2022 10:56:14,Female,Heterosexual (straight),Newly dating,,Offline,Easy to use,"Easy to use, Use for dating","Easy to use, Spend most of my time on, Use for dating","Easy to use, Use for dating",,,Male,I’ve used them in the past but not anymore,No,They should split the bill,No,Women,Mesomorph,5
10/14/2022 13:11:14,Male,Heterosexual (straight),Have a boyfriend/girlfriend,,Offline,Easiest to use,,"Easiest to use, Spend most of my time on",,,Easiest to use,Female,I’ve haven’t used them but I’ve known/heard about them,No,Male,No,They're equally picky,Triangle,6
10/14/2022 13:12:52,Female,Heterosexual (straight),"Have a ""friend-with-benefits""",,Online,Spend most of my time on,,Spend most of my time on,Use it for dating,,,Female,I’ve used them in the past but not anymore,Yes,Male,No,They're equally picky,Ectomorph,7
10/14/2022 13:15:13,Female,Heterosexual (straight),Have a boyfriend/girlfriend,,Online,Easiest to use,,Easiest to use,,,Easiest to use,Male,I’ve haven’t used them but I’ve known/heard about them,No,Male,No,Men,Endomorph,10
10/14/2022 13:23:19,Male,Heterosexual (straight),Have a boyfriend/girlfriend,,Online,,Use it for dating,Spend most of my time on,Use it for dating,Use it for dating,,Female,I’ve used them in the past but not anymore,Yes,They should split the bill,No,Women,Inverted Triangle,8
10/14/2022 13:29:29,Male,Heterosexual (straight),Been single for about two years,I’m not finding the right person,,Spend most of my time on,,Spend most of my time on,,,Spend most of my time on,Female,I’m an active user,No,They should split the bill,Yes,Women,Triangle,7
10/14/2022 13:30:45,Non-binary,Other,Have a boyfriend/girlfriend,,Offline,Easiest to use,Use it for dating,Spend most of my time on,Use it for dating,Use it for dating,Spend most of my time on,Male,I’ve haven’t used them but I’ve known/heard about them,No,Male,Yes,Women,Inverted Triangle,10
10/14/2022 13:38:34,Female,Heterosexual (straight),Married,,Offline,Easiest to use,,Spend most of my time on,,,Spend most of my time on,They're equal,I’ve haven’t used them but I’ve known/heard about them,Yes,They should split the bill,No,Men,Endomorph,5
10/14/2022 13:50:22,Male,Heterosexual (straight),Been single for about two years,I don’t want to be in a relationship right now,,Easiest to use,,Easiest to use,,,Easiest to use,Female,I’ve haven’t used them but I’ve known/heard about them,Yes,They should split the bill,Yes,Women,Hour Glass,7
10/14/2022 14:07:11,Female,Heterosexual (straight),Married,,Offline,,,Spend most of my time on,,,Spend most of my time on,Female,I’ve haven’t used them but I’ve known/heard about them,Yes,Male,Yes,Women,Mesomorph,8
10/14/2022 14:21:48,Female,Heterosexual (straight),Been single for about two years,I’m not finding the right person,,Easiest to use,,Spend most of my time on,,,,They're equal,I’ve haven’t used them but I’ve known/heard about them,No,They should split the bill,No,They're equally picky,Mesomorph,6
10/14/2022 14:40:13,Male,Heterosexual (straight),Recently single,I’m not finding the right person,,Easiest to use,,Easiest to use,,,Easiest to use,Female,I’ve used them in the past but not anymore,No,Male,No,Women,Triangle,7
10/14/2022 14:48:38,Female,Heterosexual (straight),Married,,Offline,,,"Easiest to use, Spend most of my time on",,,,Female,I’ve haven’t used them but I’ve known/heard about them,No,Male,No,They're equally picky,Mesomorph,8
