"","enj_swip","gender","orientation","rel_status","da_usage","y_single","rec_friend","met_online","dates","pay","picky","body_types","rate_yourself","snap_easy","snap_time","snap_dating","insta_easy","insta_time","insta_dating","tik_easy","tik_time","tik_dating","tin_easy","tin_time","tin_dating","hin_easy","hin_time","hin_dating","bum_easy","bum_time","bum_dating","con_level"
"1","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Equal","Split","Equal","Mesomorph",7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"high"
"2","No","Male","bi","InRelation","User",NA,"Yes","Online","Female","Split","Women","Hour Glass",7,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,"high"
"3","No","Female","straight","InRelation","User",NA,"Yes","Online","Female","Male","Women","Mesomorph",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"high"
"4","No","Female","straight","InRelation","User",NA,"No","Offline","Male","Split","Women","Mesomorph",5,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,"low"
"5","No","Male","straight","InRelation","NonUser",NA,"No","Offline","Female","Male","Equal","Triangle",6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"low"
"6","No","Female","straight","InRelation","User",NA,"Yes","Online","Female","Male","Equal","Ectomorph",7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"high"
"7","No","Female","straight","InRelation","NonUser",NA,"No","Online","Male","Male","Men","Endomorph",10,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"high"
"8","No","Male","straight","InRelation","User",NA,"Yes","Online","Female","Split","Women","Inverted Triangle",8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,"high"
"9","Yes","Male","straight","Single","User","cant_find","No",NA,"Female","Split","Women","Triangle",7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"10","Yes","Non-binary","gay_lesbian","InRelation","NonUser",NA,"No","Offline","Male","Male","Women","Inverted Triangle",10,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,"high"
"11","No","Female","straight","InRelation","NonUser",NA,"Yes","Offline","Equal","Split","Men","Endomorph",5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"12","Yes","Male","straight","Single","NonUser","doesnt_want","Yes",NA,"Female","Split","Women","Hour Glass",7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"high"
"13","Yes","Female","straight","InRelation","NonUser",NA,"Yes","Offline","Female","Male","Women","Mesomorph",8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"14","No","Female","straight","Single","NonUser","cant_find","No",NA,"Equal","Split","Equal","Mesomorph",6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"15","No","Male","straight","Single","User","cant_find","No",NA,"Female","Male","Women","Triangle",7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"high"
"16","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Female","Male","Equal","Mesomorph",8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"17","No","Female","bi","Single","User","cant_find","Yes",NA,"Male","Male","Women","Triangle",9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"high"
"18","No","Female","bi","Single","NonUser","doesnt_want","No",NA,"Equal","Split","Equal","Triangle",6,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"low"
"19","No","Female","straight","Single","User","cant_find","Yes",NA,"Equal","Split","Equal","Ectomorph",9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"high"
"20","No","Male","straight","InRelation","NonUser",NA,"Yes","Online","Female","Male","Men","Hour Glass",10,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,"high"
"21","No","Female","straight","InRelation","User",NA,"Yes","Online","Male","Split","Equal","Hour Glass",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"high"
"22","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Female","Male","Men","Inverted Triangle",7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"23","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Female","Split","Equal","Triangle",8,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,"high"
"24","No","Male","straight","Single","NonUser","cant_find","Yes",NA,"Female","Male","Women","Triangle",7,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"25","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Male","Split","Women","Endomorph",5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,"low"
